date|team|acquired|relinquished|notes
1946-06-01|Nationals (NBL)|Benny Borgmann||hired as head coach (date approximate)
1946-07-01|Bombers (BAA)|Ken Loeffler||hired as head coach (date approximate)
1946-07-01|Capitols (BAA)|Arnold Auerbach / Red Auerbach||hired as head coach, signed to a 1-year, $5K contract (date approximate)
1946-07-01|Celtics (BAA)|Honey Russell||hired as head coach (date approximate)
1946-07-01|Falcons (BAA)|Glenn Curtis||hired as head coach (date approximate)
1946-07-01|Huskies (BAA)|Ed Sadowski||hired as head coach (date approximate)
1946-07-01|Ironmen (BAA)|Paul Birch||hired as head coach (date approximate)
1946-07-01|Rebels (BAA)|Dutch Dehnert||hired as head coach (date approximate)
1946-07-01|Stags (BAA)|Harold Olsen||hired as head coach (date approximate)
1946-07-01|Steamrollers (BAA)|Robert Morris||hired as head coach (date approximate)
1946-07-01|Warriors (BAA)|Eddie Gottlieb||hired as head coach (date approximate)
1946-07-08|Knicks (BAA)|Neil Cohalan||hired as head coach
1946-12-09|Huskies (BAA)|Robert Rolfe / Red Rolfe||hired as head coach
1946-12-13|American Gears (NBL)|Davey Banks||fired as head coach
1947-03-31|Knicks (BAA)|Joe Lapchick||hired as head coach
1947-07-01|Bullets (BAA)|Buddy Jeannette||signed as player/coach (date approximate)
1947-07-01|Knicks (BAA)|Neil Coholan||replaced as head coach (date approximate)
1948-04-11|Celtics (BAA)|Doggie Julian||hired as head coach
1948-05-10|Royals (BAA)|Lester Harrison||head coach entered BAA
1948-07-01|Nationals (NBL)|Al Cervi||hired as head coach (date approximate)
1949-07-01|Blackhawks (NBL)|Roger Potter||hired as head coach (date approximate)
1949-11-10|Blackhawks||Roger Potter|fired as head coach
1949-11-10|Blackhawks|Arnold Auerbach / Red Auerbach||hired as head coach, signed to a 2-year, $17K contract ($25K+ including bonuses)
1950-04-26|Celtics||Doggie Julian|replaced as head coach (date approximate)
1950-04-27|Celtics|Arnold Auerbach / Red Auerbach||hired as head coach & GM to a 1-year, $10K contract
1950-07-01|Blackhawks|Dave McMillan||hired as head coach (date approximate)
1950-12-01|Blackhawks||Dave McMillan|fired as head coach (date approximate)
1950-12-01|Blackhawks|John Logan / Johnny Logan||hired as head coach (date approximate)
1950-12-15|Blackhawks||John Logan / Johnny Logan|replaced as head coach (date approximate)
1950-12-15|Blackhawks|Marko Todorovich (a)||hired as head coach (date approximate)
1951-07-01|Blackhawks||Marko Todorovich (a)|replaced as head coach (date approximate)
1951-07-01|Blackhawks|Dave McMillan||hired as head coach (date approximate)
1951-07-01|Hawks|Doxie Moore||hired as head coach (date approximate)
1952-07-01|Blackhawks|T|Dave McMillan|replaced as head coach (date approximate)
1952-07-01|Hawks||Doxie Moore|replaced as head coach (date approximate)
1952-07-01|Hawks|Andrew Levane / Fuzzy Levane||hired as head coach (date approximate)
1954-01-01|Hawks||Andrew Levane / Fuzzy Levane|replaced as head coach (date approximate)
1954-01-01|Hawks|William Holzman / Red Holzman||hired as head coach (date approximate)
1954-03-27|Pistons||Paul Birch|resigned as head coach
1954-05-01|Pistons|Charley Eckman||hired as head coach, signed to a 3-year contract (date approximate)
1954-11-23|Bullets||Al McGuire|left team (hired as freshman coach at Dartmouth shortly thereafter) (date approximate)
1955-06-01|Pistons|Charley Eckman||re-signed as head coach to a new 3-year contract through 1957-58 (date approximate)
1956-02-09|Knicks|Vince Boryla||hired as head coach
1956-07-01|Nationals||Al Cervi|fired as head coach (date approximate)
1956-12-01|Nationals|Paul Seymour||hired as head coach (date approximate)
1957-01-01|Hawks||William Holzman / Red Holzman|fired as head coach (date approximate)
1957-01-01|Hawks|Slater Martin||hired as head coach (player/coach) (date approximate)
1957-02-01|Hawks||Slater Martin|resigned as head coach (remained as player) (date approximate)
1957-02-01|Hawks|Alex Hannum||hired as head coach (player/coach) (date approximate)
1957-04-14|Hawks||Alex Hannum|retired as player (remained as head coach) (date approximate)
1957-06-19|Lakers|George Mikan||hired as head coach
1958-01-16|Lakers||George Mikan|fired as head coach
1958-01-16|Lakers|John Kundla||hired as head coach
1958-07-01|Hawks||Alex Hannum|fired as head coach (date approximate)
1958-07-01|Knicks||Vince Boryla|replaced as head coach (date approximate)
1958-07-01|Hawks|Andy Phillip||hired as head coach (date approximate)
1958-12-01|Hawks||Andy Phillip|resigned or fired as head coach (date approximate)
1958-12-01|Hawks|Ed Macauley||hired as head coach (player/coach) (date approximate)
1959-06-01|Hawks||Ed Macauley|retired as player (remained as head coach) (date approximate)
1959-06-01|Lakers||John Kundla|fired or resigned as head coach (date approximate)
1959-06-01|Lakers|John Castellani / Johnny Castellani||hired as head coach (date approximate)
1960-01-02|Lakers||John Castellani / Johnny Castellani|resigned as head coach
1960-01-02|Lakers|Jim Pollard||hired as head coach
1960-04-24|Nationals|Alex Hannum||hired as head coach, signed to a 2-year contract
1960-06-01|Hawks||Ed Macauley|fired as head coach (date approximate)
1960-06-01|Lakers|Fred Schaus||hired as head coach (date approximate)
1960-07-02|Hawks|Paul Seymour||hired as head coach (date approximate)
1961-12-01|Hawks||Paul Seymour|fired as head coach (date approximate)
1961-12-01|Hawks|Andrew Levane / Fuzzy Levane||hired as head coach (date approximate)
1962-03-01|Hawks||Andrew Levane / Fuzzy Levane|fired as head coach (date approximate)
1962-03-01|Hawks|Bob Pettit||hired as head coach (player/coach) (date approximate)
1962-05-01|Hawks||Bob Pettit|fired as head coach (remained as player) (date approximate)
1962-06-01|Hawks|Harry Gallatin||hired as head coach (date approximate)
1963-06-01|Royals|Jack McMahon||hired as head coach (date approximate)
1963-07-01|Bullets|Bob Leonard / Bobby Leonard / Slick Leonard||hired as head coach (date approximate)
1963-07-16|Nationals|Dolph Schayes||hired as head coach
1963-08-07|Warriors|Alex Hannum||hired as head coach
1964-01-01|Hawks||Harry Gallatin|fired as head coach (date approximate)
1964-06-01|76ers||Dolph Schayes|retired as head coach (date approximate)
1964-08-08|Bullets||Bob Leonard / Bobby Leonard / Slick Leonard|replaced as head coach
1964-08-08|Bullets|Buddy Jeannette||hired as head coach
1964-11-11|Pistons||Charley Wolf|fired as head coach
1964-11-11|Pistons|Dave DeBusschere||hired as interim head coach (in addition to player)
1965-01-01|Hawks|Richie Guerin||hired as head coach (player/coach) (date approximate)
1965-01-02|Knicks|Harry Gallatin||hired as head coach
1965-05-13|Bullets|Buddy Jeannette||moved from head coach to GM
1965-05-13|Bullets|Paul Seymour||hired as head coach
1965-11-28|Knicks|Dick McGuire||hired as head coach
1966-02-02|Mavericks (ABA)|Slater Martin||hired as head coach (date approximate)
1966-03-22|Warriors||Alex Hannum|fired as head coach
1966-03-28|Bullets||Paul Seymour|resigned as head coach
1966-04-28|Bullets|Mike Farmer||hired as head coach, signed to a 2-year contract
1966-04-29|Celtics||Arnold Auerbach / Red Auerbach|retired as head coach (remained as GM)
1966-05-02|76ers|Alex Hannum||hired as head coach, signed to a 2-year contract
1966-05-03|Bulls|Al Bianchi||hired as assistant coach, signed to a 3-year contract
1966-05-03|Bulls|John Kerr / Johnny Kerr||hired as head coach, signed to a 3-year contract
1966-06-01|Chaparrals (ABA)|Cliff Hagan||signed as player/coach (date approximate)
1966-11-03|Bullets||Mike Farmer|replaced as head coach
1966-11-03|Bullets|Buddy Jeannette||hired as head coach
1966-12-06|Bullets||Buddy Jeannette|replaced as head coach
1966-12-06|Bullets|Gene Shue||hired as head coach
1967-03-01|Floridians (ABA)|Jim Pollard||hired as head coach (date approximate)
1967-03-08|Pistons||Dave DeBusschere|resigned as head coach (remained as player)
1967-03-08|Pistons|Donnis Butcher / Donnie Butcher||hired as head coach
1967-03-29|Rockets|Jack McMahon||hired as GM & head coach
1967-05-02|Royals|Ed Jucker||hired as head coach, signed to a reported $32K/year contract
1967-06-01|Celtics|Bill Russell||hired as head coach (date approximate)
1967-06-01|Lakers|Bill van Breda Kolff / Butch van Breda Kolff||hired as head coach (date approximate)
1967-06-01|Lakers|Fred Schaus||moved from head coach to GM (date approximate)
1967-06-09|Amigos (ABA)|Al Brightman||hired as head coach
1967-07-01|Americans (ABA)|Max Zaslofsky||hired as head coach (date approximate)
1967-07-01|Buccaneers (ABA)|James McCarthy / Babe McCarthy||hired as head coach (date approximate)
1967-07-01|Knicks|William Holzman / Red Holzman||hired as head coach (date approximate)
1967-07-01|Sonics|Al Bianchi||hired as head coach (date approximate)
1967-07-01|Warriors|George Lee||hired as head coach (date approximate)
1967-12-30|Amigos (ABA)||Al Brightman|fired as head coach (reassigned to public relations position)
1967-12-30|Amigos (ABA)|Harry Dinnel||hired as head coach
1968-04-04|Bucks|Larry Costello||hired as head coach
1968-04-23|Bulls||John Kerr / Johnny Kerr|resigned as head coach
1968-04-30|76ers||Alex Hannum|resigned as head coach
1968-05-27|Bulls|Dick Motta||hired as head coach
1968-07-01|Stars (ABA)||Harry Dinnel|replaced as head coach (date approximate)
1968-07-01|Stars (ABA)|Bill Sharman||hired as head coach (date approximate)
1968-07-01|Suns|John Kerr / Johnny Kerr||hired as head coach (date approximate)
1968-07-15|76ers|Jack Ramsay||hired as head coach
1968-11-01|Mavericks (ABA)||Slater Martin|resigned as head coach (date approximate)
1968-11-01|Mavericks (ABA)|Jim Weaver||hired as head coach (date approximate)
1969-05-09|Royals|Bob Cousy||hired as head coach
1969-06-01|Lakers||Bill van Breda Kolff / Butch van Breda Kolff|resigned as head coach (date approximate)
1969-06-01|Lakers|Joe Mullaney||hired as head coach (date approximate)
1969-06-18|Nets (ABA)|Lou Carnesecca||hired as head coach, VP, and GM, signed to a 5-year contract to begin in 1970-71 season
1969-07-01|Celtics|Tom Heinsohn / Tommy Heinsohn||hired as head coach (date approximate)
1969-07-01|Sonics|Lenny Wilkens||hired as head coach (in addition to player) (date approximate)
1969-07-11|Sonics||Al Bianchi|resigned as head coach
1969-07-14|Cougars (ABA)|Horace McKinney / Bones McKinney||hired as head coach (date approximate)
1969-11-29|Floridians (ABA)||Jim Pollard|fired as head coach
1969-11-29|Floridians (ABA)|Hal Blitman||hired as head coach
1969-12-10|Rockets|Alex Hannum||hired as head coach
1970-01-02|Suns||John Kerr / Johnny Kerr|fired/resigned as head coach (re-assigned to chief scout)
1970-01-02|Suns|Jerry Colangelo||hired as head coach (in addition to GM)
1970-01-13|Chaparrals (ABA)|Max Williams||hired as head coach (in addition to GM)
1970-01-13|Chaparrals (ABA)||Cliff Hagan|resigned as head coach
1970-03-31|Braves|Dolph Schayes||hired as head coach
1970-04-21|Blazers|Rolland Todd||hired as head coach
1970-06-01|Knicks|William Holzman / Red Holzman||hired as GM (in addition to head coach) (date approximate)
1970-06-29|Nets (ABA)|John Kresse||hired as assistant coach
1971-01-15|Floridians (ABA)||Hal Blitman|fired as head coach
1971-01-15|Floridians (ABA)|Bob Bass||hired as head coach
1971-05-14|Rockets|Tex Winter||hired as head coach
1971-06-26|Stars (ABA)|LaDell Andersen||hired as head coach
1971-07-12|Lakers|K.C. Jones||hired as assistant coach / scout
1971-07-12|Stars (ABA)||Bill Sharman|resigned as head coach (date approximate)
1971-07-12|Lakers|Bill Sharman||hired as head coach, signed to a 5-year, reported $350K contract (date approximate)
1971-09-23|76ers|Hal Greer||signed as player / assistant coach to a 2-year contract
1971-10-13|Braves||Dolph Schayes|fired as head coach
1971-10-13|Braves|John McCarthy / Johnny McCarthy||hired as head coach
1971-11-01|Pistons||Bill van Breda Kolff / Butch van Breda Kolff|resigned as head coach
1972-02-03|Blazers||Rolland Todd|fired as head coach
1972-02-03|Blazers|Stu Inman||hired as head coach
1972-03-27|Braves||John McCarthy / Johnny McCarthy|fired as head coach
1972-04-03|Blazers||Roland Todd|fired as head coach (date approximate)
1972-04-03|Blazers|Jack McCloskey||hired as head coach
1972-04-03|Sonics||Lenny Wilkens|resigned as head coach (remained as player)
1972-04-06|Braves|Jack Ramsay||hired as head coach
1972-04-20|Sonics|Tom Nissalke||hired as head coach
1972-04-27|Pros (ABA)||James McCarthy / Babe McCarthy|resigned as head coach
1972-06-01|76ers|Roy Rubin||hired as head coach (date approximate)
1972-07-01|Hawks||Richie Guerin|resigned as head coach (date approximate)
1972-07-01|Hawks|Lowell Fitzsimmons / Cotton Fitzsimmons||hired as head coach (date approximate)
